city	locality
Bhubaneswar	"Sun Green, Satya Nagar"
Bhubaneswar	Surya Nagar
Bhubaneswar	"Swosti Premium, Jayadev Vihar"
Bhubaneswar	"The Crown, Nayapalli"
Bhubaneswar	"The Royale Midtown, Ashok Nagar"
Bhubaneswar	"Trident Bhubaneswar, Nayapalli"
Bhubaneswar	Unit 4
Bhubaneswar	"VITS Hotel, Lakshmi Sagar"
Chandigarh	Bazaar by Peddlers
Chandigarh	Chandigarh Industrial Area
Chandigarh	"City Emporium Mall, Chandigarh Industrial Area"
Chandigarh	"DLF City Centre, IT Park"
Chandigarh	"Elante Mall, Chandigarh Industrial Area"
Chandigarh	"Hotel Aquamarine, Sector 22"
Chandigarh	"Hotel Aroma Complex, Sector 22 Chandigarh"
Chandigarh	"Hotel Aroma, Sector 22"
Chandigarh	"Hotel City Heart Premium, Sector 17, Chandigarh"
Chandigarh	"Hotel Heritage, Sector 35"
Chandigarh	"Hotel Hometel, Chandigarh Industrial Area"
Chandigarh	"Hotel Icon, Sector 8"
Chandigarh	"Hotel KLG International, Sector 43"
Chandigarh	"Hotel Metro 35, Sector 35"
Chandigarh	"Hotel Mountview, Sector 10"
Chandigarh	"Hotel Parkview, Sector 24"
Chandigarh	"Hotel President, Sector 26, Chandigarh"
Chandigarh	"Hotel Shivalik View, Sector 17"
Chandigarh	"Hotel Sunbeam, Sector 22 "
Chandigarh	"Hotel Turquoise, Chandigarh Industrial Area"
Chandigarh	"Hyatt Regency, Chandigarh Industrial Area"
Chandigarh	"Inner Market, Sector 8 B, Chandigarh"
Chandigarh	"Inner market, Sector 9 D, Chandigarh"
Chandigarh	IT Park
Chandigarh	"James Hotel, Sector 17"
Chandigarh	"JW Marriott, Sector 35 B"
Chandigarh	"Lemon Tree Hotel, Chandigarh Industrial Area, Chandigarh"
Chandigarh	Manimajra
Chandigarh	"Piccadily Square Mall, Chandigarh"
Chandigarh	Sector 10
Chandigarh	Sector 11
Chandigarh	Sector 14
Chandigarh	Sector 15
Chandigarh	Sector 16
Chandigarh	Sector 17
Chandigarh	Sector 18
Chandigarh	Sector 19
Chandigarh	Sector 21
Chandigarh	Sector 22
Chandigarh	Sector 23
Chandigarh	Sector 24
Chandigarh	Sector 26
Chandigarh	Sector 27
Chandigarh	Sector 28
Chandigarh	Sector 30
Chandigarh	Sector 32
Chandigarh	Sector 34
Chandigarh	Sector 35
Chandigarh	Sector 36
Chandigarh	Sector 37
Chandigarh	Sector 38
Chandigarh	Sector 40
Chandigarh	Sector 42
Chandigarh	Sector 43
Chandigarh	Sector 44
Chandigarh	Sector 46
Chandigarh	Sector 47
Chandigarh	Sector 7
Chandigarh	Sector 8
Chandigarh	Sector 9
Chandigarh	"Student Center, Punjab University"
Chandigarh	"Taj Chandigarh, Sector 17"
Chandigarh	"The Altius Boutique Hotel, Chandigarh Industrial Area"
Chandigarh	"The Fern Residency, Chandigarh Industrial Area"
Chandigarh	"The First Hotel, Sector 43 Chandigarh"
Chandigarh	"The Jullundar Hotel, Sector 22"
Chandigarh	"The Lalit Chandigarh, IT Park"
Chandigarh	The Pearl Hotel
Chandigarh	"The Piccadily Hotel, Sector 22 B"
Chandigarh	"The Toy Hotel, Sector 34"
Chennai	" InterContinental Chennai Mahabalipuram Resort, East Coast Road "
Chennai	Abhiramapuram
Chennai	"Abu Sarovar Portico, Egmore"
Chennai	Adambakkam
Chennai	Adyar
Chennai	Akkarai
Chennai	Alandur
Chennai	"Aloft Chennai, Sholinganallur"
Chennai	Alwarpet
Chennai	"Ambassador Pallava, Egmore"
Chennai	Ambattur
Chennai	"Ambica Empire, Vadapalani"
Chennai	"Ambit IT Park,AMbattur"
Chennai	Aminijikarai
Chennai	"Ampa Skywalk Mall,AMinijikarai"
Chennai	Anna Nagar East
Chennai	Anna Nagar West
Chennai	Anna Salai
Chennai	Arumbakkam
Chennai	"Ascendas IT Park, Taramani"
Chennai	Ashok Nagar
Chennai	Avadi
Chennai	"Benzz Park, T. Nagar"
Chennai	Besant Nagar
Chennai	"BKR Grand Hotel, T. Nagar"
Chennai	Chengalpattu
Chennai	"Chennai Citi Centre, Mylapore"
Chennai	"Chennai Food Town, Thuraipakkam"
Chennai	Chetpet
Chennai	Choolaimedu
Chennai	Chromepet
Chennai	Citadines
Chennai	"Clarion Hotel, Mylapore"
Chennai	"Courtyard by Marriott, Teynampet"
Chennai	"Crowne Plaza Chennai Adyar Park, Alwarpet"
Chennai	"Dash@OMR, Old Mahabalipuram Road "
Chennai	"Days Hotel, Old Mahabalipuram Road "
Chennai	"Deccan Plaza, Royapettah"
Chennai	East Coast Road 
Chennai	Egatoor
Chennai	Egmore
Chennai	Ekkaduthangal
Chennai	Eldoris
Chennai	"Express Avenue Mall,  Royapettah"
Chennai	"Fairfield by Marriot, Chengalpattu"
Chennai	"Feathers, A Radha Hotel"
Chennai	"Food Zone, Kilpauk"
Chennai	Foodies Kitchen
Chennai	"Fortune Select Grand, Chengalpattu"
Chennai	"Forum Vijaya Mall, Vadapalani"
Chennai	"Four Points by Sheraton, East Coast Road "
Chennai	George Town
Chennai	"GLM Meridian Hotel, T. Nagar"
Chennai	"Gokulam Park Sabari - OMR, Old Mahabalipuram Road "
Chennai	Gopalapuram
Chennai	Grand by GRT Hotels
Chennai	"Grand Galada Mall, Meenambakkam"
Chennai	"Grand Residence Hotel, Porur"
Chennai	Grande Bay Resort
Chennai	"Green Meadows Resorts, Palavakkam"
Chennai	"Green Park Hotel, Vadapalani"
Chennai	"GRT Regency, Kanchipuram "
Chennai	GST Road
Chennai	Guindy
Chennai	"Hablis Hotel, Guindy"
Chennai	"Harrisons Hotel, Nungambakkam"
Chennai	"Hilton Chennai, Guindy"
Chennai	Holiday Inn Chennai OMR IT Expressway
Chennai	"Hotel Abu Palace, Egmore"
Chennai	"Hotel Bhimaas, Vadapalani"
Chennai	"Hotel Centre Point, Sholinganallur"
Chennai	"Hotel Fortel, Egmore"
Chennai	"Hotel Mamallaa Heritage, East Coast Road "
Chennai	"Hotel Marina Inn, Egmore"
Chennai	"Hotel Maris, Gopalapuram"
Chennai	"Hotel Palmgrove, Nungambakkam"
Chennai	"Hotel Park Elanza, Nungambakkam"
Chennai	"Hotel Poigai, Arumbakkam"
Chennai	"Hotel Radha Regent, Arumbakkam"
Chennai	"Hotel Raj Palace, T. Nagar"
Chennai	"Hotel Rajpark, Alwarpet"
Chennai	"Hotel Ranjith, Nungambakkam"
Chennai	"Hotel Shelter, Mylapore"
Chennai	"Hotel Vassi Palaze, Kanchipuram District"
Chennai	"Hyatt Regency, Teynampet"
Chennai	"IBIS Hotel, Old Mahabalipuram Road "
Chennai	Injambakkam
Chennai	"Ispahani Centre, Nungambakkam"
Chennai	"ITC Grand Chola, Guindy"
Chennai	"JP Hotel, Koyambedu"
Chennai	K.K. Nagar
Chennai	Kanathur
Chennai	Kanchipuram District
Chennai	Karapakkam
Chennai	Kelambakkam
Chennai	"Keys Hotel, Thiruvanmiyur"
Chennai	Kilpauk
Chennai	"Kipling, East Coast Road "
Chennai	Kodambakkam
Chennai	Kolathur
Chennai	Kottivakkam
Chennai	Kotturpuram
Chennai	Kovalam
